         1485917 function calls (1462274 primitive calls) in 83.220 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      384    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       15    0.000    0.000    0.000    0.000 re.py:307(_subx)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:575(__init__)
        1    0.000    0.000    0.000    0.000 configobj.py:1489(_decode)
       41    0.000    0.000    0.000    0.000 core.py:2041(<listcomp>)
        4    0.000    0.000    0.000    0.000 helpers.py:213(helper_multiplication)
       38    0.000    0.000    0.000    0.000 utils.py:8(_get_c)
        1    0.000    0.000    0.000    0.000 core.py:972(TableOutputter)
        1    0.000    0.000    0.000    0.000 queue.py:255(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:376(<listcomp>)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
       16    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       35    0.000    0.000    0.000    0.000 _datasource.py:203(keys)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
       30    0.000    0.000    0.000    0.000 random.py:256(choice)
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
       76    0.000    0.000    0.000    0.000 __init__.py:329(iterable)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4272(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
       14    0.000    0.000    0.000    0.000 fractions.py:84(__new__)
        1    0.000    0.000    0.000    0.000 lex.py:663(get_rules)
       12    0.000    0.000    0.000    0.000 pprint.py:522(<genexpr>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1346(is_dir)
       63    0.000    0.000    0.000    0.000 rcsetup.py:429(validate_fontsize)
        1    0.000    0.000    0.000    0.000 yacc.py:285(LRParser)
       50    0.000    0.000    0.000    0.000 _strptime.py:251(<genexpr>)
        1    0.000    0.000    0.000    0.000 diff.py:43(_BaseDiff)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
       38    0.000    0.000    0.000    0.000 colors.py:788(__init__)
        1    0.000    0.000    0.000    0.000 backend_managers.py:5(<module>)
        4    0.000    0.000    0.000    0.000 generic.py:212(p_division_product_of_units)
        1    0.000    0.000    0.000    0.000 core.py:295(Time)
       28    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 row.py:3(<module>)
        1    0.000    0.000    0.000    0.000 emitter.py:9(<module>)
       32    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 _datasource.py:269(DataSource)
        1    0.000    0.000    0.000    0.000 win.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:110(<listcomp>)
        1    0.000    0.000    0.000    0.000 registry.py:4(<module>)
       56    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        1    0.000    0.000    0.000    0.000 Image.py:524(Image)
       32    0.000    0.000    0.000    0.000 validate.py:746(_is_num_param)
        1    0.000    0.000    0.000    0.000 yacc.py:286(__init__)
        1    0.000    0.000    0.000    0.000 mrecords.py:10(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      337    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
        2    0.000    0.000    0.000    0.000 core.py:6283(__array_finalize__)
      115    0.000    0.000    0.000    0.000 pyparsing.py:2330(__str__)
       47    0.000    0.000    0.000    0.000 decorators.py:734(__init__)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:4(<module>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       33    0.000    0.000    0.000    0.000 warnings.py:493(__exit__)
        1    0.000    0.000    0.000    0.000 helper.py:232(_FFTCache)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
      164    0.000    0.000    0.000    0.000 rcsetup.py:399(validate_string)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 yacc.py:313(set_defaulted_states)
        1    0.000    0.000    0.000    0.000 html.py:141(HTMLOutputter)
        2    0.000    0.000    0.000    0.000 common.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        9    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:162(deprecate)
        1    0.000    0.000    0.000    0.000 data_info.py:358(<listcomp>)
        1    0.000    0.000    0.000    0.000 lex.py:75(PlyLogger)
        1    0.000    0.000    0.000    0.000 sextractor.py:8(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:62(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1506(ExtensionHDU)
       11    0.000    0.000    0.000    0.000 decorator.py:152(update)
      120    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:687(get_data_path)
      125    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      144    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       12    0.000    0.000    0.000    0.000 rcsetup.py:68(_listify_validator)
        1    0.000    0.000    0.000    0.000 formats.py:740(TimeString)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
       21    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
        1    0.000    0.000    0.000    0.000 __init__.py:656(_get_data_path)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1442(addCondition)
        1    0.000    0.000    0.000    0.000 scale.py:583(get_scale_docs)
       10    0.000    0.000    0.000    0.000 configobj.py:484(__init__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       13    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        7    0.000    0.000    0.000    0.000 _datasource.py:351(_splitzipext)
        1    0.000    0.000    0.000    0.000 text.py:1980(Annotation)
        1    0.000    0.000    0.000    0.000 widgets.py:1234(Cursor)
        1    0.000    0.000    0.000    0.000 quantity.py:984(__pow__)
        1    0.000    0.000    0.000    0.000 _strptime.py:111(<listcomp>)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
       55    0.000    0.000    0.000    0.000 rcsetup.py:667(__call__)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1329(setName)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4355(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:1621(TransformWrapper)
       14    0.000    0.000    0.000    0.000 quantity.py:458(<listcomp>)
        1    0.000    0.000    0.000    0.000 serialize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nodes.py:2(<module>)
      326    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       49    0.000    0.000    0.000    0.000 function_base.py:258(iterable)
       30    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_home)
      130    0.000    0.000    0.000    0.000 deprecation.py:115(deprecated)
        1    0.000    0.000    0.000    0.000 _strptime.py:127(__calc_date_time)
        7    0.000    0.000    0.000    0.000 _dtype.py:319(_name_get)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1143(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:103(deprecate_function)
        1    0.000    0.000    0.000    0.000 cds.py:33(CDS)
        1    0.000    0.000    0.000    0.000 console.py:40(_IPython)
        1    0.000    0.000    0.000    0.000 lsoda.py:1(<module>)
      360    0.000    0.000    0.000    0.000 {method 'rjust' of 'str' objects}
       45    0.000    0.000    0.000    0.000 re.py:252(escape)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
        6    0.000    0.000    0.000    0.000 deprecation.py:54(warn_deprecated)
        1    0.000    0.000    0.000    0.000 paths.py:4(<module>)
       27    0.000    0.000    0.000    0.000 generic.py:449(_parse_unit)
        1    0.000    0.000    0.000    0.000 equivalencies.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _testutils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        8    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
      265    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 shape_base.py:283(<listcomp>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:906(validate_animation_writer_path)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1725(resetCache)
        1    0.000    0.000    0.000    0.000 meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 composer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 csc.py:1(<module>)
        7    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        3    0.000    0.000    0.000    0.000 re.py:297(_compile_repl)
        6    0.000    0.000    0.000    0.000 pathlib.py:1156(stat)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        7    0.000    0.000    0.000    0.000 fromnumeric.py:93(take)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
      160    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
        5    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
      563    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:55(is_style_file)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 threading.py:1174(__init__)
       69    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 font_manager.py:939(FontManager)
      204    0.000    0.000    0.000    0.000 patches.py:1815(<genexpr>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        2    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
       13    0.000    0.000    0.000    0.000 __init__.py:1361(debug)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2199(__call__)
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
        1    0.000    0.000    0.000    0.000 transforms.py:2084(IdentityTransform)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
      140    0.000    0.000    0.000    0.000 core.py:1581(aliases)
        1    0.000    0.000    0.000    0.000 nonstandard.py:3(<module>)
      446    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x1139a9f28}
        8    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
       93    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1432(addParseAction)
        1    0.000    0.000    0.000    0.000 _subplots.py:203(subplot_class_factory)
        6    0.000    0.000    0.000    0.000 validate.py:660(_parse_check)
        1    0.000    0.000    0.000    0.000 serializer.py:2(<module>)
        7    0.000    0.000    0.000    0.000 _continuous_distns.py:226(_cdf)
      393    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        3    0.000    0.000    0.000    0.000 sre_parse.py:951(parse_template)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath._insert}
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
       93    0.000    0.000    0.000    0.000 pyparsing.py:240(__init__)
       44    0.000    0.000    0.000    0.000 pyparsing.py:3900(<genexpr>)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
       33    0.000    0.000    0.000    0.000 os.py:751(encode)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       14    0.000    0.000    0.000    0.000 shape_base.py:83(atleast_2d)
        4    0.000    0.000    0.000    0.000 ssl.py:356(__new__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:3395(__init__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:5263(<genexpr>)
        1    0.000    0.000    0.000    0.000 rotation.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.access}
        9    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:792(<dictcomp>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2914(parseImpl)
        7    0.000    0.000    0.000    0.000 _distn_infrastructure.py:876(_open_support_mask)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        2    0.000    0.000    0.000    0.000 __init__.py:175(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1120(<listcomp>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        1    0.000    0.000    0.000    0.000 patches.py:3901(FancyArrowPatch)
        1    0.000    0.000    0.000    0.000 core.py:488(UnitBase)
       79    0.000    0.000    0.000    0.000 converters.py:91(__setitem__)
        1    0.000    0.000    0.000    0.000 _spectral.py:3(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:956(is_url)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        5    0.000    0.000    0.000    0.000 rcsetup.py:468(validate_whiskers)
       45    0.000    0.000    0.000    0.000 docstring.py:44(update)
        1    0.000    0.000    0.000    0.000 table.py:204(Table)
        9    0.000    0.000    0.000    0.000 configuration.py:68(__init__)
       10    0.000    0.000    0.000    0.000 generic.py:296(p_product_of_units)
        1    0.000    0.000    0.000    0.000 info.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
       28    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       36    0.000    0.000    0.000    0.000 copy.py:252(_keep_alive)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        3    0.000    0.000    0.000    0.000 core.py:111(__init__)
        2    0.000    0.000    0.000    0.000 generic.py:223(p_inverse_unit)
      275    0.000    0.000    0.000    0.000 constant.py:147(abbrev)
        1    0.000    0.000    0.000    0.000 operations.py:8(<module>)
        4    0.000    0.000    0.000    0.000 sortedlist.py:58(decorating_function)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
       18    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       28    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:813(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1354(setLevel)
       16    0.000    0.000    0.000    0.000 pyparsing.py:781(__iadd__)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2621(parseImpl)
        1    0.000    0.000    0.000    0.000 configobj.py:1300(<listcomp>)
        1    0.000    0.000    0.000    0.000 quantity.py:937(__rmul__)
        1    0.000    0.000    0.000    0.000 __init__.py:210(<listcomp>)
        1    0.000    0.000    0.000    0.000 table.py:185(Table)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:104(FullHessianUpdateStrategy)
        1    0.000    0.000    0.000    0.000 triangulation.py:101(Complex)
        1    0.000    0.000    0.000    0.000 quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bvp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1483(exponpow_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5856(reciprocal_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6676(wald_gen)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:593(_module_repr_from_spec)
       33    0.000    0.000    0.000    0.000 warnings.py:453(__init__)
       86    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       19    0.000    0.000    0.000    0.000 pathlib.py:693(__str__)
        2    0.000    0.000    0.000    0.000 numeric.py:175(ones)
        1    0.000    0.000    0.000    0.000 numeric.py:2318(identity)
        7    0.000    0.000    0.000    0.000 fromnumeric.py:1694(nonzero)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
      166    0.000    0.000    0.000    0.000 pyparsing.py:3568(<genexpr>)
        5    0.000    0.000    0.000    0.000 introspection.py:20(resolve_name)
        1    0.000    0.000    0.000    0.000 quantity.py:196(Quantity)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 inspect.py:2407(_ParameterKind)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      137    0.000    0.000    0.000    0.000 pyparsing.py:2235(setWhitespaceChars)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5019(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 formsubplottool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:1(<module>)
       19    0.000    0.000    0.000    0.000 functools.py:445(lru_cache)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        3    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      148    0.000    0.000    0.000    0.000 rcsetup.py:52(func)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2193(__invert__)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1534(Arc)
       24    0.000    0.000    0.000    0.000 column.py:251(parent_table)
      432    0.000    0.000    0.000    0.000 pprint.py:598(<genexpr>)
        1    0.000    0.000    0.000    0.000 streaming.py:3(<module>)
        1    0.000    0.000    0.000    0.000 rbf.py:44(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(<listcomp>)
        7    0.000    0.000    0.000    0.000 _continuous_distns.py:169(_norm_cdf)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1309(_clear_cache)
        2    0.000    0.000    0.000    0.000 __init__.py:666(get_candidate_paths)
       39    0.000    0.000    0.000    0.000 __init__.py:1598(_preprocess_data)
        3    0.000    0.000    0.000    0.000 rcsetup.py:108(validate_path_exists)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
       15    0.000    0.000    0.000    0.000 docstring.py:84(__call__)
        1    0.000    0.000    0.000    0.000 patches.py:2413(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 textpath.py:24(TextToPath)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        4    0.000    0.000    0.000    0.000 fractions.py:193(from_float)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kdtree.py:176(KDTree)
        1    0.000    0.000    0.000    0.000 tr_interior_point.py:13(<module>)
        1    0.000    0.000    0.000    0.000 mstats_extras.py:4(<module>)
      213    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
        3    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        1    0.000    0.000    0.000    0.000 basic.py:756(erfinv)
        1    0.000    0.000    0.000    0.000 __init__.py:590(_get_xdg_cache_dir)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       49    0.000    0.000    0.000    0.000 pyparsing.py:522(__getitem__)
      138    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       12    0.000    0.000    0.000    0.000 column.py:397(name)
        2    0.000    0.000    0.000    0.000 core.py:267(__init__)
       36    0.000    0.000    0.000    0.000 registry.py:205(register_reader)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
       18    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.concatenate}
        4    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
       13    0.000    0.000    0.000    0.000 __init__.py:1619(isEnabledFor)
       12    0.000    0.000    0.000    0.000 pyparsing.py:5231(<lambda>)
        1    0.000    0.000    0.000    0.000 text.py:109(Text)
        1    0.000    0.000    0.000    0.000 trirefine.py:3(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:13(Spine)
        4    0.000    0.000    0.000    0.000 paths.py:17(_find_home)
      142    0.000    0.000    0.000    0.000 configobj.py:1299(<genexpr>)
        3    0.000    0.000    0.000    0.000 blas.py:343(get_blas_funcs)
       17    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      183    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 twodim_base.py:154(eye)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
       86    0.000    0.000    0.000    0.000 rcsetup.py:201(validate_int)
        5    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.000    0.000 _cm.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:1361(_tzparser)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:77(deprecate_doc)
        1    0.000    0.000    0.000    0.000 column.py:178(BaseColumn)
        1    0.000    0.000    0.000    0.000 decorators.py:4(<module>)
        1    0.000    0.000    0.000    0.000 sorteddict.py:39(SortedDict)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constants.py:4(<module>)
      102    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       22    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      124    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      254    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
        7    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
       92    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
       40    0.000    0.000    0.000    0.000 inspect.py:228(istraceback)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4250(__init__)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        1    0.000    0.000    0.000    0.000 tritools.py:3(<module>)
       14    0.000    0.000    0.000    0.000 core.py:1295(score)
       88    0.000    0.000    0.000    0.000 data_info.py:238(_parent)
        1    0.000    0.000    0.000    0.000 pprint.py:3(<module>)
       16    0.000    0.000    0.000    0.000 base.py:91(__init__)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:24(bsr_matrix)
      155    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
       14    0.000    0.000    0.000    0.000 rcsetup.py:178(validate_axisbelow)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2863(<genexpr>)
       13    0.000    0.000    0.000    0.000 pyparsing.py:4109(__str__)
        1    0.000    0.000    0.000    0.000 collections.py:1026(RegularPolyCollection)
       56    0.000    0.000    0.000    0.000 patches.py:1919(_register_style)
        1    0.000    0.000    0.000    0.000 geo.py:268(AitoffAxes)
        2    0.000    0.000    0.000    0.000 column.py:946(_compare)
        4    0.000    0.000    0.000    0.000 table.py:623(_set_masked_from_cols)
        1    0.000    0.000    0.000    0.000 iterparser.py:4(<module>)
        1    0.000    0.000    0.000    0.000 dogbox.py:42(<module>)
       49    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
      212    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       69    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
       11    0.000    0.000    0.000    0.000 rcsetup.py:249(validate_backend)
       25    0.000    0.000    0.000    0.000 rcsetup.py:300(<listcomp>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1234(ParserElement)
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
       95    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:442(LambertAxes)
        1    0.000    0.000    0.000    0.000 scipy_special.py:7(<module>)
       56    0.000    0.000    0.000    0.000 yacc.py:1382(__init__)
        3    0.000    0.000    0.000    0.000 blas.py:297(_get_funcs)
       14    0.000    0.000    0.000    0.000 table.py:822(itercols)
        1    0.000    0.000    0.000    0.000 column.py:509(Column)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:354(<listcomp>)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lobpcg.py:11(<module>)
      135    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
